ApplicantID,Assigned_Agent,Branch_Name,Policy_Type,Line_Of_Business,Master_Company,Writing_Company_Name,Policy_Number,Term,Effective_Date,Agency,Billing_Type,Cancellation_Date,Department,Download_Date,Expiration_Date,LOB_Code,LOB_Origination_Date,Policy_Creation_Date,Policy_Last_Modified_Date,Premium_Changed,Premium_Taxes,Service_Team_Override,Status,Transaction_Type,Transaction_Type_Code
80328861,"Jarosz, Nicole",Generic Insurance Branch North,Personal,Dwelling fire,Nationwide Insurance,AMCO INS CO,HPgCP9zfvb,12 Months,06/25/2020,Generic Insurance,Unknown,,Personal Lines (P/L),07/09/2020,06/25/2021,DFIRE,06/25/2020,06/26/2020,07/09/2020,$0.00,$0.00,No,Active,Policy Change,PCH
80404429,"McManus, Malerie",Generic Insurance Branch North,Personal,Dwelling fire,Nationwide Insurance,AMCO INS CO,8DNmTk2FCd,12 Months,07/15/2020,Generic Insurance,Unknown,,Personal Lines (P/L),08/14/2020,07/15/2021,DFIRE,07/15/2020,07/16/2020,08/14/2020,$0.00,$0.00,No,Active,Policy Change,PCH
81189102,"Jarosz, Nicole",Generic Insurance Branch North,Personal,Auto (Personal),Nationwide Insurance,AMCO INS CO,BxBhUFU75T,12 Months,08/12/2020,Generic Insurance,Unknown,,Personal Lines (P/L),08/13/2020,08/12/2021,AUTOP,08/12/2020,08/13/2020,08/13/2020,$199.69,$0.00,No,Active,New Business,NBS
81349051,"Johnstone, Olivia",Generic Insurance Branch North,Personal,Auto (Personal),Nationwide Insurance,AMCO INS CO,pWDCcN2Dhf,12 Months,08/26/2020,Generic Insurance,Unknown,,Personal Lines (P/L),08/28/2020,08/26/2021,AUTOP,08/26/2020,08/28/2020,08/28/2020,$183.99,$0.00,No,Active,New Business,NBS
81549605,"Anderson, Bobbie",Generic Insurance Branch North,Personal,Auto (Personal),Nationwide Insurance,AMCO INS CO,2xj7yPjV27,12 Months,08/25/2020,Generic Insurance,Unknown,,Personal Lines (P/L),08/28/2020,08/25/2021,AUTOP,08/25/2020,08/26/2020,10/12/2020,$0.00,$0.00,No,Active,Policy Change,PCH
81549605,"Anderson, Bobbie",Generic Insurance Branch North,Personal,Dwelling fire,Nationwide Insurance,AMCO INS CO,rDCy4TaABq,12 Months,08/25/2020,Generic Insurance,Unknown,,Personal Lines (P/L),03/09/2021,08/25/2021,DFIRE,08/25/2020,08/26/2020,03/09/2021,$0.00,$0.00,No,Active,Policy Change,PCH
81549605,"Anderson, Bobbie",Generic Insurance Branch North,Personal,Dwelling fire,Nationwide Insurance,AMCO INS CO,RjM6GBrhMB,12 Months,08/25/2020,Generic Insurance,Unknown,,Personal Lines (P/L),05/04/2021,08/25/2021,DFIRE,08/25/2020,08/26/2020,05/04/2021,$0.00,$0.00,No,Active,Policy Change,PCH
81549605,"Anderson, Bobbie",Generic Insurance Branch North,Personal,Dwelling fire,Nationwide Insurance,AMCO INS CO,SPAdVPEW4X,12 Months,08/25/2020,Generic Insurance,Unknown,,Personal Lines (P/L),03/09/2021,08/25/2021,DFIRE,08/25/2020,08/26/2020,03/09/2021,$0.00,$0.00,No,Active,Policy Change,PCH
81549605,"Anderson, Bobbie",Generic Insurance Branch North,Personal,Dwelling fire,Nationwide Insurance,AMCO INS CO,p7v3TbSce2,12 Months,08/25/2020,Generic Insurance,Unknown,,Personal Lines (P/L),03/09/2021,08/25/2021,DFIRE,08/25/2020,08/26/2020,03/09/2021,$0.00,$0.00,No,Active,Policy Change,PCH
81549605,"Anderson, Bobbie",Generic Insurance Branch North,Personal,Dwelling fire,Nationwide Insurance,AMCO INS CO,rBNxxuf6fB,12 Months,08/25/2020,Generic Insurance,Unknown,,Personal Lines (P/L),10/31/2020,08/25/2021,DFIRE,08/25/2020,08/26/2020,10/31/2020,$0.00,$0.00,No,Active,Policy Change,PCH
81588505,"Anderson, Bobbie",Generic Insurance Branch North,Personal,Dwelling fire,Nationwide Insurance,AMCO INS CO,aWt6N7xs6u,12 Months,08/30/2020,Generic Insurance,Unknown,,Personal Lines (P/L),10/10/2020,08/30/2021,DFIRE,08/30/2020,09/01/2020,10/10/2020,$0.00,$0.00,No,Active,Policy Change,PCH
81588505,"Anderson, Bobbie",Generic Insurance Branch North,Personal,Dwelling fire,Nationwide Insurance,AMCO INS CO,8tWrf6w3Sf,12 Months,11/12/2020,Generic Insurance,Unknown,,Personal Lines (P/L),01/15/2021,11/12/2021,DFIRE,10/25/2020,11/14/2020,01/15/2021,$0.00,$0.00,No,Active,Policy Change,PCH
81588505,"Anderson, Bobbie",Generic Insurance Branch North,Personal,Auto (Personal),Nationwide Insurance,AMCO INS CO,8J2ExNfUcq,12 Months,09/21/2020,Generic Insurance,Unknown,,Personal Lines (P/L),11/17/2020,09/21/2021,AUTOP,09/21/2020,09/25/2020,11/17/2020,$0.00,$0.00,No,Active,Policy Change,PCH
81632779,"Johnstone, Olivia",Generic Insurance Branch North,Personal,Auto (Personal),Nationwide Insurance,AMCO INS CO,BfsRtCt6cr,12 Months,08/25/2020,Generic Insurance,Unknown,,Personal Lines (P/L),08/26/2020,08/25/2021,AUTOP,08/25/2020,08/26/2020,08/26/2020,"$1,308.66",$0.00,No,Active,New Business,NBS
81875694,"Johnstone, Olivia",Generic Insurance Branch North,Personal,Auto (Personal),Nationwide Insurance,AMCO INS CO,s6bneK95UV,12 Months,08/31/2020,Generic Insurance,Unknown,,Personal Lines (P/L),09/01/2020,08/31/2021,AUTOP,08/31/2020,09/01/2020,09/01/2020,$110.00,$0.00,No,Active,New Business,NBS
82500336,"Casser, Emilia",Generic Insurance Branch North,Personal,Auto (Personal),Nationwide Insurance,AMCO INS CO,F9MWM8WPtv,12 Months,08/28/2020,Generic Insurance,Unknown,,Personal Lines (P/L),08/29/2020,08/28/2021,AUTOP,08/28/2020,08/29/2020,09/08/2020,$254.91,$0.00,No,Active,New Business,NBS
82613188,"McManus, Malerie",Generic Insurance Branch North,Personal,Watercraft (small boat),Nationwide Insurance,AMCO INS CO,uUMGZRK9fh,12 Months,08/21/2020,Generic Insurance,Unknown,,Personal Lines (P/L),09/16/2020,08/21/2021,BOAT,08/21/2020,08/26/2020,12/07/2020,$0.75,$0.00,No,Active,Policy Change,PCH
82904355,"Casser, Emilia",Generic Insurance Branch North,Personal,Auto (Personal),Nationwide Insurance,AMCO INS CO,FB9yucm8kt,12 Months,05/08/2021,Generic Insurance,Unknown,,Personal Lines (P/L),05/13/2021,05/08/2022,AUTOP,05/08/2021,05/13/2021,05/17/2021,$435.72,$0.00,No,Active,New Business,NBS
84616466,"Jarosz, Nicole",Generic Insurance Branch North,Personal,Dwelling fire,Nationwide Insurance,AMCO INS CO,46QhQYezf6,12 Months,12/18/2020,Generic Insurance,Unknown,,Personal Lines (P/L),02/02/2021,12/18/2021,DFIRE,12/18/2020,12/19/2020,02/02/2021,$0.00,$0.00,No,Active,Policy Change,PCH
84962333,"Jarosz, Nicole",Generic Insurance Branch North,Personal,Watercraft (small boat),Nationwide Insurance,AMCO INS CO,rHYpVJD5p6,12 Months,05/03/2021,Generic Insurance,Unknown,,Personal Lines (P/L),05/07/2021,05/03/2022,BOAT,05/03/2021,05/07/2021,05/07/2021,$415.63,$0.00,No,Active,New Business,NBS
84962333,"Jarosz, Nicole",Generic Insurance Branch North,Personal,Auto (Personal),Nationwide Insurance,AMCO INS CO,Fs6MGn5WRJ,12 Months,11/09/2020,Generic Insurance,Unknown,,Personal Lines (P/L),11/10/2020,11/09/2021,AUTOP,11/09/2020,11/10/2020,11/10/2020,$559.20,$0.00,No,Active,New Business,NBS
84962333,"Jarosz, Nicole",Generic Insurance Branch North,Personal,Dwelling fire,Nationwide Insurance,AMCO INS CO,AfwqY2gY3d,12 Months,11/09/2020,Generic Insurance,Unknown,,Personal Lines (P/L),11/10/2020,11/09/2021,DFIRE,11/09/2020,11/10/2020,11/10/2020,"$1,741.00",$0.00,No,Active,New Business,NBS
85179152,"Allen, Johnson",Generic Insurance Branch North,Personal,Dwelling fire,Nationwide Insurance,AMCO INS CO,jdY3bCrRy3,12 Months,03/01/2021,Generic Insurance,Unknown,,Personal Lines (P/L),04/14/2021,03/01/2022,DFIRE,03/01/2021,03/02/2021,04/14/2021,$0.00,$0.00,No,Active,Policy Change,PCH
85179152,"Allen, Johnson",Generic Insurance Branch North,Personal,Dwelling fire,Nationwide Insurance,AMCO INS CO,9MF75d4WkC,12 Months,03/01/2021,Generic Insurance,Unknown,,Personal Lines (P/L),04/29/2021,03/01/2022,DFIRE,03/01/2021,03/01/2021,04/29/2021,$0.00,$0.00,No,Active,Policy Change,PCH
85297674,"Allen, Johnson",Generic Insurance Branch North,Personal,Dwelling fire,Nationwide Insurance,AMCO INS CO,2XF6AnBHKU,12 Months,12/04/2020,Generic Insurance,Unknown,,Personal Lines (P/L),03/12/2021,12/04/2021,DFIRE,12/04/2020,12/08/2020,03/12/2021,"$1,098.00",$0.00,No,Active,Reinstate,REI
85313976,"Casser, Emilia",Generic Insurance Branch North,Personal,Dwelling fire,Nationwide Insurance,AMCO INS CO,WfhH65ZQrA,12 Months,11/18/2020,Generic Insurance,Unknown,,Personal Lines (P/L),01/01/2021,11/18/2021,DFIRE,11/18/2020,11/19/2020,04/30/2021,$0.00,$0.00,No,Active,Policy Change,PCH
87659248,"Anderson, Bobbie",Generic Insurance Branch South,Personal,Dwelling fire,Nationwide Insurance,AMCO INS CO,KzCMEgcVm5,12 Months,04/05/2021,Generic Insurance,Unknown,,Personal Lines (P/L),05/13/2021,04/05/2022,DFIRE,03/11/2021,04/10/2021,05/13/2021,$0.00,$0.00,No,Active,Policy Change,PCH
87659248,"Anderson, Bobbie",Generic Insurance Branch South,Personal,Dwelling fire,Nationwide Insurance,AMCO INS CO,MUGkSUJKss,12 Months,02/11/2021,Generic Insurance,Unknown,,Personal Lines (P/L),04/24/2021,02/11/2022,DFIRE,02/11/2021,02/13/2021,04/24/2021,$0.00,$0.00,No,Active,Policy Change,PCH
87683058,"Anderson, Bobbie",Generic Insurance Branch South,Personal,Dwelling fire,Nationwide Insurance,AMCO INS CO,yxbX5dBSQj,12 Months,01/25/2021,Generic Insurance,Unknown,,Personal Lines (P/L),02/26/2021,01/25/2022,DFIRE,01/25/2021,01/26/2021,02/26/2021,$0.00,$0.00,No,Active,Policy Change,PCH
87683058,"Anderson, Bobbie",Generic Insurance Branch South,Personal,Auto (Personal),Nationwide Insurance,AMCO INS CO,8xrnaJRDfh,12 Months,01/25/2021,Generic Insurance,Unknown,,Personal Lines (P/L),02/10/2021,01/25/2022,AUTOP,01/25/2021,01/26/2021,02/10/2021,$417.91,$0.00,No,Active,Policy Change,PCH
91452799,"Johnstone, Olivia",Generic Insurance Branch South,Personal,Dwelling fire,Nationwide Insurance,AMCO INS CO,daJsBMz9Ux,12 Months,04/02/2021,Generic Insurance,Unknown,,Personal Lines (P/L),04/22/2021,04/02/2022,DFIRE,04/01/2021,04/03/2021,04/22/2021,-$20.00,$0.00,No,Active,Policy Change,PCH
92177342,"Johnstone, Olivia",Generic Insurance Branch South,Personal,Dwelling fire,Nationwide Insurance,AMCO INS CO,umvAAsWtXq,12 Months,04/27/2021,Generic Insurance,Unknown,,Personal Lines (P/L),04/29/2021,04/27/2022,DFIRE,04/27/2021,04/28/2021,04/29/2021,$0.00,$0.00,No,Active,Policy Change,PCH
75108863,"Smith, Amanda",Generic Insurance Branch North,Personal,Homeowners,Safeco Insurance,AMERICAN ECONOMY INS CO,XNAygVPRDS,12 Months,03/10/2021,Generic Insurance,Unknown,,Personal Lines (P/L),01/23/2021,03/10/2022,HOME,03/10/2020,03/11/2020,03/10/2021,"$1,184.00",$0.00,No,Active,Renewal,RWL
75128279,"Smith, Amanda",Generic Insurance Branch North,Personal,Homeowners,Safeco Insurance,AMERICAN ECONOMY INS CO,7yytm62cxE,12 Months,01/31/2021,Generic Insurance,Unknown,,Personal Lines (P/L),12/18/2020,01/31/2022,HOME,01/31/2020,02/04/2020,01/31/2021,"$1,055.00",$0.00,No,Active,Renewal,RWL
75158162,"Smith, Amanda",Generic Insurance Branch North,Personal,Homeowners,Safeco Insurance,AMERICAN ECONOMY INS CO,TT8MS5dpNd,12 Months,02/07/2021,Generic Insurance,Unknown,,Personal Lines (P/L),12/25/2020,02/07/2022,HOME,02/07/2020,02/08/2020,02/07/2021,$955.00,$0.00,No,Active,Renewal,RWL
75194364,"Anderson, Bobbie",Generic Insurance Branch North,Personal,Homeowners,Safeco Insurance,AMERICAN ECONOMY INS CO,dPsPCg3N2Q,12 Months,03/10/2021,Generic Insurance,Unknown,,Personal Lines (P/L),02/26/2021,03/10/2022,HOME,03/10/2020,03/17/2020,03/30/2021,"$1,093.00",$0.00,No,Active,Policy Change,PCH
75271438,"Smith, Amanda",Generic Insurance Branch North,Personal,Homeowners,Safeco Insurance,AMERICAN ECONOMY INS CO,JKsjpjhryg,12 Months,02/13/2021,Generic Insurance,Unknown,,Personal Lines (P/L),12/31/2020,02/13/2022,HOME,02/13/2020,02/15/2020,02/13/2021,"$1,669.00",$0.00,No,Active,Renewal,RWL
75461425,"Anderson, Bobbie",Generic Insurance Branch North,Personal,Homeowners,Safeco Insurance,AMERICAN ECONOMY INS CO,R2AVktGPxE,12 Months,02/07/2021,Generic Insurance,Unknown,,Personal Lines (P/L),12/25/2020,02/07/2022,HOME,02/07/2020,02/07/2020,02/07/2021,"$1,094.00",$0.00,No,Active,Renewal,RWL
75760919,"Smith, Amanda",Generic Insurance Branch North,Personal,Homeowners,Safeco Insurance,AMERICAN ECONOMY INS CO,MddU8jymqC,12 Months,03/20/2021,Generic Insurance,Unknown,,Personal Lines (P/L),03/11/2021,03/20/2022,HOME,03/20/2020,03/24/2020,03/20/2021,"$1,873.00",$0.00,No,Active,Policy Change,PCH
75858561,"McManus, Malerie",Generic Insurance Branch North,Personal,Homeowners,Safeco Insurance,AMERICAN ECONOMY INS CO,nFEGQMqQz6,12 Months,03/02/2021,Generic Insurance,Unknown,,Personal Lines (P/L),03/16/2021,03/02/2022,HOME,03/02/2020,03/03/2020,03/16/2021,"$2,032.00",$0.00,No,Active,Policy Change,PCH
75884163,"Smith, Amanda",Generic Insurance Branch North,Personal,Homeowners,Safeco Insurance,AMERICAN ECONOMY INS CO,QKhG56mk8v,12 Months,03/09/2021,Generic Insurance,Unknown,,Personal Lines (P/L),04/10/2021,03/09/2022,HOME,03/09/2020,03/10/2020,04/26/2021,"$1,378.00",$0.00,No,Active,Policy Change,PCH
75991104,"Smith, Amanda",Generic Insurance Branch North,Personal,Homeowners,Safeco Insurance,AMERICAN ECONOMY INS CO,EyfuTJhAbT,12 Months,02/24/2021,Generic Insurance,Unknown,,Personal Lines (P/L),05/25/2021,02/24/2022,HOME,02/24/2020,02/26/2020,05/25/2021,"$1,361.00",$0.00,No,Active,Policy Change,PCH
76257873,"Smith, Amanda",Generic Insurance Branch North,Personal,Homeowners,Safeco Insurance,AMERICAN ECONOMY INS CO,8edeCd9EPy,12 Months,05/22/2021,Generic Insurance,Unknown,,Personal Lines (P/L),04/08/2021,05/22/2022,HOME,05/22/2020,05/23/2020,05/22/2021,"$1,509.00",$0.00,No,Active,Renewal,RWL
76276871,"McManus, Malerie",Generic Insurance Branch North,Personal,Homeowners,Safeco Insurance,AMERICAN ECONOMY INS CO,5F5kaUyd9X,12 Months,03/17/2021,Generic Insurance,Unknown,,Personal Lines (P/L),01/30/2021,03/17/2022,HOME,03/17/2020,03/18/2020,03/17/2021,"$2,349.00",$0.00,No,Active,Renewal,RWL
76385595,"Smith, Amanda",Generic Insurance Branch North,Personal,Homeowners,Safeco Insurance,AMERICAN ECONOMY INS CO,uGkuSG5AGa,12 Months,03/12/2021,Generic Insurance,Unknown,,Personal Lines (P/L),01/27/2021,03/12/2022,HOME,03/12/2020,03/13/2020,03/12/2021,"$1,899.00",$0.00,No,Active,Renewal,RWL
76406399,"Smith, Amanda",Generic Insurance Branch North,Personal,Homeowners,Safeco Insurance,AMERICAN ECONOMY INS CO,MvhSuGmhMM,12 Months,03/16/2021,Generic Insurance,Unknown,,Personal Lines (P/L),01/30/2021,03/16/2022,HOME,03/16/2020,03/18/2020,03/16/2021,"$1,369.00",$0.00,No,Active,Renewal,RWL
76518757,"McManus, Malerie",Generic Insurance Branch North,Personal,Homeowners,Safeco Insurance,AMERICAN ECONOMY INS CO,Chmn6a8kwm,12 Months,06/05/2020,Generic Insurance,Unknown,,Personal Lines (P/L),01/12/2021,06/05/2021,HOME,06/05/2020,06/06/2020,01/12/2021,"$1,478.00",$0.00,No,Active,Policy Change,PCH
76576848,"Johnstone, Olivia",Generic Insurance Branch North,Personal,Homeowners,Safeco Insurance,AMERICAN ECONOMY INS CO,7EWNFYhgKA,12 Months,03/09/2021,Generic Insurance,Unknown,,Personal Lines (P/L),02/13/2021,03/09/2022,HOME,03/09/2020,03/11/2020,03/09/2021,"$2,036.00",$0.00,No,Active,Policy Change,PCH
76629196,"Anderson, Bobbie",Generic Insurance Branch North,Personal,Homeowners,Safeco Insurance,AMERICAN ECONOMY INS CO,8dEnecKEtH,12 Months,03/06/2021,Generic Insurance,Unknown,,Personal Lines (P/L),03/01/2021,03/06/2022,HOME,03/06/2020,03/10/2020,03/06/2021,"$1,295.00",$0.00,No,Active,Policy Change,PCH
76881645,"McManus, Malerie",Generic Insurance Branch North,Personal,Homeowners,Safeco Insurance,AMERICAN ECONOMY INS CO,tb7YGcdWeS,12 Months,03/13/2021,Generic Insurance,Unknown,,Personal Lines (P/L),01/28/2021,03/13/2022,HOME,03/13/2020,03/14/2020,03/13/2021,"$1,368.00",$0.00,No,Active,Renewal,RWL
77063319,"McManus, Malerie",Generic Insurance Branch North,Personal,Homeowners,Safeco Insurance,AMERICAN ECONOMY INS CO,nmAvfQaQw9,12 Months,07/16/2020,Generic Insurance,Unknown,,Personal Lines (P/L),09/09/2020,07/16/2021,HOME,07/16/2020,07/17/2020,09/09/2020,"$1,466.00",$0.00,No,Active,Policy Change,PCH
77150792,"Smith, Amanda",Generic Insurance Branch North,Personal,Homeowners,Safeco Insurance,AMERICAN ECONOMY INS CO,jKefgJXrbn,12 Months,05/12/2021,Generic Insurance,Unknown,,Personal Lines (P/L),03/31/2021,05/12/2022,HOME,05/12/2020,05/14/2020,05/12/2021,"$1,143.00",$0.00,No,Active,Renewal,RWL
77238610,"McManus, Malerie",Generic Insurance Branch North,Personal,Homeowners,Safeco Insurance,AMERICAN ECONOMY INS CO,xYMkGAeqQv,12 Months,03/19/2021,Generic Insurance,Unknown,,Personal Lines (P/L),03/20/2021,03/19/2022,HOME,03/19/2021,03/20/2021,03/20/2021,"$1,615.00",$0.00,No,Active,New Business,NBS
77293163,"Smith, Amanda",Generic Insurance Branch North,Personal,Homeowners,Safeco Insurance,AMERICAN ECONOMY INS CO,CCKPYkYMu9,12 Months,04/10/2021,Generic Insurance,Unknown,,Personal Lines (P/L),04/07/2021,04/10/2022,HOME,04/10/2020,04/11/2020,04/10/2021,$609.00,$0.00,No,Active,Policy Change,PCH
77377314,"Johnstone, Olivia",Generic Insurance Branch North,Personal,Homeowners,Safeco Insurance,AMERICAN ECONOMY INS CO,fYS7RYp7mf,12 Months,04/10/2021,Generic Insurance,Unknown,,Personal Lines (P/L),05/14/2021,04/10/2022,HOME,04/10/2020,04/11/2020,05/14/2021,"$1,340.00",$0.00,No,Active,Policy Change,PCH
77476983,"McManus, Malerie",Generic Insurance Branch North,Personal,Homeowners,Safeco Insurance,AMERICAN ECONOMY INS CO,DYVbNcwFQa,12 Months,04/15/2021,Generic Insurance,Unknown,,Personal Lines (P/L),03/02/2021,04/15/2022,HOME,04/15/2020,04/16/2020,04/15/2021,"$1,175.00",$0.00,No,Active,Renewal,RWL
77639537,"Anderson, Bobbie",Generic Insurance Branch North,Personal,Homeowners,Safeco Insurance,AMERICAN ECONOMY INS CO,BPf4GV3g6e,12 Months,04/09/2021,Generic Insurance,Unknown,,Personal Lines (P/L),05/13/2021,04/09/2022,HOME,04/09/2020,04/10/2020,05/13/2021,"$1,701.00",$0.00,No,Active,Policy Change,PCH
77664882,"Smith, Amanda",Generic Insurance Branch North,Personal,Homeowners,Safeco Insurance,AMERICAN ECONOMY INS CO,w44np6fTky,12 Months,05/01/2021,Generic Insurance,Unknown,,Personal Lines (P/L),03/30/2021,05/01/2022,HOME,05/01/2020,05/02/2020,05/01/2021,"$2,028.00",$0.00,No,Active,Policy Change,PCH
77730263,"Anderson, Bobbie",Generic Insurance Branch North,Personal,Homeowners,Safeco Insurance,AMERICAN ECONOMY INS CO,DqZSvfHzQ2,12 Months,04/06/2021,Generic Insurance,Unknown,,Personal Lines (P/L),05/01/2021,04/06/2022,HOME,04/06/2020,04/08/2020,05/01/2021,"$1,237.00",$0.00,No,Active,Policy Change,PCH
77765831,"Smith, Amanda",Generic Insurance Branch North,Personal,Homeowners,Safeco Insurance,AMERICAN ECONOMY INS CO,XdtY2pBrYX,12 Months,04/20/2021,Generic Insurance,Unknown,,Personal Lines (P/L),03/20/2021,04/20/2022,HOME,04/20/2020,04/22/2020,04/20/2021,"$1,440.00",$0.00,No,Active,Policy Change,PCH
77835199,"Allen, Johnson",Generic Insurance Branch North,Personal,Homeowners,Safeco Insurance,AMERICAN ECONOMY INS CO,fWknrPESnm,12 Months,04/16/2021,Generic Insurance,Unknown,,Personal Lines (P/L),04/17/2021,04/16/2022,HOME,04/16/2021,04/17/2021,04/17/2021,"$2,395.00",$0.00,No,Active,New Business,NBS
77930101,"Johnstone, Olivia",Generic Insurance Branch North,Personal,Homeowners,Safeco Insurance,AMERICAN ECONOMY INS CO,zUeK7KeDFk,12 Months,03/12/2021,Generic Insurance,Unknown,,Personal Lines (P/L),03/13/2021,03/12/2022,HOME,03/12/2021,03/13/2021,03/13/2021,"$1,088.00",$0.00,No,Active,New Business,NBS
78076826,"Anderson, Bobbie",Generic Insurance Branch North,Personal,Business Owners,Safeco Insurance,AMERICAN ECONOMY INS CO,Eh3zvUYzmv,12 Months,06/03/2020,Generic Insurance,Unknown,,Personal Lines (P/L),06/05/2020,06/03/2021,BOP,06/03/2020,06/05/2020,06/05/2020,"$1,464.00",$0.00,No,Active,New Business,NBS
78087093,"Anderson, Bobbie",Generic Insurance Branch North,Personal,Homeowners,Safeco Insurance,AMERICAN ECONOMY INS CO,wAT8PgWSH6,12 Months,04/30/2021,Generic Insurance,Unknown,,Personal Lines (P/L),04/16/2021,04/30/2022,HOME,04/30/2020,05/01/2020,04/30/2021,$732.00,$0.00,No,Active,Policy Change,PCH
78177314,"Smith, Amanda",Generic Insurance Branch North,Personal,Homeowners,Safeco Insurance,AMERICAN ECONOMY INS CO,y8EkzdKBmf,12 Months,04/26/2021,Generic Insurance,Unknown,,Personal Lines (P/L),03/13/2021,04/26/2022,HOME,04/26/2020,04/28/2020,04/26/2021,"$1,603.00",$0.00,No,Active,Renewal,RWL
78245076,"Anderson, Bobbie",Generic Insurance Branch North,Personal,Homeowners,Safeco Insurance,AMERICAN ECONOMY INS CO,GESHunC2S7,12 Months,12/28/2020,Generic Insurance,Unknown,,Personal Lines (P/L),03/17/2021,12/28/2021,HOME,12/28/2020,12/29/2020,03/17/2021,"$1,857.00",$0.00,No,Active,Policy Change,PCH
78412437,"Smith, Amanda",Generic Insurance Branch North,Personal,Homeowners,Safeco Insurance,AMERICAN ECONOMY INS CO,yeZCkXsBVG,12 Months,05/20/2021,Generic Insurance,Unknown,,Personal Lines (P/L),04/06/2021,05/20/2022,HOME,05/20/2020,05/21/2020,05/20/2021,"$2,420.00",$0.00,No,Active,Renewal,RWL
78533461,"McManus, Malerie",Generic Insurance Branch North,Personal,Homeowners,Safeco Insurance,AMERICAN ECONOMY INS CO,ex9YVU6zW9,12 Months,05/22/2021,Generic Insurance,Unknown,,Personal Lines (P/L),04/08/2021,05/22/2022,HOME,05/22/2020,05/23/2020,05/22/2021,"$1,485.00",$0.00,No,Active,Renewal,RWL
