ApplicantID,Assigned_Agent,Branch_Name,Policy_Type,Line_Of_Business,Master_Company,Policy_Number,Term,Effective_Date,Agency,Billing_Type,Cancellation_Date,Department,Download_Date,Expiration_Date,LOB_Code,LOB_Origination_Date,Policy_Creation_Date,Policy_Last_Modified_Date,Premium_Changed,Premium_Taxes,Service_Team_Override,Status,Transaction_Type,Transaction_Type_Code,Writing_Company_Name
75250637,"Smith, Amanda",Generic Insurance Branch North,Personal,Homeowners,FOREMOST INSURANCE,zdTbDKdrRc,12 Months,03/02/2021,Generic Insurance,Unknown,,Personal Lines (P/L),01/30/2021,03/02/2022,HOME,03/02/2020,03/05/2020,03/02/2021,"$2,247.00",$0.00,No,Active,Renewal,RWL,FOREMOST INS CO GRAND RAPIDS MI
75250637,"Smith, Amanda",Generic Insurance Branch North,Personal,Auto (Personal),Bristol West,ctWcbuCn6B,6 Months,03/02/2021,Generic Insurance,Unknown,,Personal Lines (P/L),01/26/2021,09/02/2021,AUTOP,03/02/2020,03/04/2020,03/02/2021,$298.50,$0.00,No,Active,Renewal,RWL,BRISTOL W INS CO
75271438,"Smith, Amanda",Generic Insurance Branch North,Personal,Homeowners,Safeco Insurance,JKsjpjhryg,12 Months,02/13/2021,Generic Insurance,Unknown,,Personal Lines (P/L),12/31/2020,02/13/2022,HOME,02/13/2020,02/15/2020,02/13/2021,"$1,669.00",$0.00,No,Active,Renewal,RWL,AMERICAN ECONOMY INS CO
75349364,"Anderson, Bobbie",Generic Insurance Branch North,Personal,Homeowners,Safeco Insurance,WQUg7AMMFt,12 Months,02/14/2021,Generic Insurance,Unknown,,Personal Lines (P/L),01/01/2021,02/14/2022,HOME,02/14/2020,02/15/2020,02/14/2021,$198.00,$0.00,No,Active,Renewal,RWL,SAFECO INS CO OF AMER
75349364,"Anderson, Bobbie",Generic Insurance Branch North,Personal,Auto (Personal),Safeco Insurance,dxMZNCJRWp,12 Months,01/28/2021,Generic Insurance,Unknown,,Personal Lines (P/L),12/15/2020,01/28/2022,AUTOP,01/28/2020,02/04/2020,01/28/2021,"$1,267.20",$0.00,No,Active,Renewal,RWL,SAFECO INS CO OF AMER
75461425,"Anderson, Bobbie",Generic Insurance Branch North,Personal,Auto (Personal),Safeco Insurance,qn86GShmfg,12 Months,02/09/2021,Generic Insurance,Unknown,,Personal Lines (P/L),12/25/2020,02/09/2022,AUTOP,02/09/2020,02/07/2020,02/09/2021,"$1,617.30",$0.00,No,Active,Renewal,RWL,SAFECO INS CO OF AMER
75461425,"Anderson, Bobbie",Generic Insurance Branch North,Personal,Umbrella - Personal,Safeco Insurance,sYGdpNU7mU,12 Months,02/09/2021,Generic Insurance,Unknown,,Personal Lines (P/L),12/30/2020,02/09/2022,PUMBR,02/09/2020,02/07/2020,02/09/2021,$542.00,$0.00,No,Active,Renewal,RWL,SAFECO INS CO OF AMER
75461425,"Anderson, Bobbie",Generic Insurance Branch North,Personal,Homeowners,Safeco Insurance,R2AVktGPxE,12 Months,02/07/2021,Generic Insurance,Unknown,,Personal Lines (P/L),12/25/2020,02/07/2022,HOME,02/07/2020,02/07/2020,02/07/2021,"$1,094.00",$0.00,No,Active,Renewal,RWL,AMERICAN ECONOMY INS CO
75750669,"Anderson, Bobbie",Generic Insurance Branch North,Personal,Auto (Personal),Nationwide Insurance,BUkCcup47E,12 Months,02/25/2021,Generic Insurance,Unknown,,Personal Lines (P/L),01/16/2021,02/25/2022,AUTOP,02/25/2020,02/26/2020,02/25/2021,$308.08,$0.00,No,Active,Renewal,RWL,AMCO INS CO
75750669,"Anderson, Bobbie",Generic Insurance Branch North,Personal,Auto (Personal),Nationwide Insurance,jUtD4eDryH,12 Months,02/20/2021,Generic Insurance,Unknown,,Personal Lines (P/L),02/26/2021,02/20/2022,AUTOP,02/20/2020,02/26/2020,02/26/2021,$50.06,$0.00,No,Active,Policy Change,PCH,NATIONWIDE PROP & CAS INS CO
75750669,"Anderson, Bobbie",Generic Insurance Branch North,Personal,Homeowners,Nationwide Insurance,mPvhQDEYQt,12 Months,02/25/2021,Generic Insurance,Unknown,,Personal Lines (P/L),02/19/2021,02/25/2022,HOME,02/25/2020,02/26/2020,02/25/2021,$0.00,$0.00,No,Active,Policy Change,PCH,NATIONWIDE PROP & CAS INS CO
75760919,"Smith, Amanda",Generic Insurance Branch North,Personal,Auto (Personal),Safeco Insurance,5jWHqjNQ6a,12 Months,03/20/2021,Generic Insurance,Unknown,,Personal Lines (P/L),02/25/2021,03/20/2022,AUTOP,03/20/2020,03/24/2020,03/20/2021,"-$1,201.61",$0.00,No,Active,Policy Change,PCH,SAFECO INS CO OF AMER
75760919,"Smith, Amanda",Generic Insurance Branch North,Personal,Homeowners,Safeco Insurance,MddU8jymqC,12 Months,03/20/2021,Generic Insurance,Unknown,,Personal Lines (P/L),03/11/2021,03/20/2022,HOME,03/20/2020,03/24/2020,03/20/2021,"$1,873.00",$0.00,No,Active,Policy Change,PCH,AMERICAN ECONOMY INS CO
75760919,"Smith, Amanda",Generic Insurance Branch North,Personal,Auto (Personal),Safeco Insurance,SmRvkSug3d,12 Months,03/20/2021,Generic Insurance,Unknown,,Personal Lines (P/L),02/04/2021,03/20/2022,AUTOP,03/20/2020,03/24/2020,03/20/2021,$540.00,$0.00,No,Active,Renewal,RWL,GENERAL INS CO OF AMER
75848255,"Smith, Amanda",Generic Insurance Branch North,Personal,Auto (Personal),Nationwide Insurance,vg9PPP5eVh,12 Months,03/25/2021,Generic Insurance,Unknown,,Personal Lines (P/L),02/09/2021,03/25/2022,AUTOP,03/25/2020,03/27/2020,03/25/2021,"$2,414.78",$0.00,No,Active,Renewal,RWL,NATIONWIDE PROP & CAS INS CO
75848255,"Smith, Amanda",Generic Insurance Branch North,Personal,Homeowners,Nationwide Insurance,dpknPquXZ3,12 Months,03/25/2021,Generic Insurance,Unknown,,Personal Lines (P/L),03/24/2021,03/25/2022,HOME,03/25/2020,03/27/2020,03/25/2021,$0.00,$0.00,No,Active,Policy Change,PCH,NATIONWIDE PROP & CAS INS CO
75858561,"McManus, Malerie",Generic Insurance Branch North,Personal,Homeowners,Safeco Insurance,nFEGQMqQz6,12 Months,03/02/2021,Generic Insurance,Unknown,,Personal Lines (P/L),03/16/2021,03/02/2022,HOME,03/02/2020,03/03/2020,03/16/2021,"$2,032.00",$0.00,No,Active,Policy Change,PCH,AMERICAN ECONOMY INS CO
75884163,"Smith, Amanda",Generic Insurance Branch North,Personal,Homeowners,Safeco Insurance,QKhG56mk8v,12 Months,03/09/2021,Generic Insurance,Unknown,,Personal Lines (P/L),04/10/2021,03/09/2022,HOME,03/09/2020,03/10/2020,04/26/2021,"$1,378.00",$0.00,No,Active,Policy Change,PCH,AMERICAN ECONOMY INS CO
75884163,"Smith, Amanda",Generic Insurance Branch North,Personal,Auto (Personal),Safeco Insurance,r3wuWjNUJG,12 Months,03/09/2021,Generic Insurance,Unknown,,Personal Lines (P/L),01/23/2021,03/09/2022,AUTOP,03/09/2020,03/10/2020,03/09/2021,"$1,574.20",$0.00,No,Active,Renewal,RWL,SAFECO INS CO OF AMER
75991104,"Smith, Amanda",Generic Insurance Branch North,Personal,Homeowners,Safeco Insurance,EyfuTJhAbT,12 Months,02/24/2021,Generic Insurance,Unknown,,Personal Lines (P/L),05/25/2021,02/24/2022,HOME,02/24/2020,02/26/2020,05/25/2021,"$1,361.00",$0.00,No,Active,Policy Change,PCH,AMERICAN ECONOMY INS CO
76257873,"Smith, Amanda",Generic Insurance Branch North,Personal,Auto (Personal),Safeco Insurance,C4hby48EFZ,12 Months,06/01/2020,Generic Insurance,Unknown,,Personal Lines (P/L),03/24/2021,06/01/2021,AUTOP,06/01/2020,05/27/2020,03/24/2021,"$2,521.20",$0.00,No,Active,Policy Change,PCH,SAFECO INS CO OF AMER
76257873,"Smith, Amanda",Generic Insurance Branch North,Personal,Homeowners,Safeco Insurance,8edeCd9EPy,12 Months,05/22/2021,Generic Insurance,Unknown,,Personal Lines (P/L),04/08/2021,05/22/2022,HOME,05/22/2020,05/23/2020,05/22/2021,"$1,509.00",$0.00,No,Active,Renewal,RWL,AMERICAN ECONOMY INS CO
76276871,"McManus, Malerie",Generic Insurance Branch North,Personal,Auto (Personal),Safeco Insurance,khmrBE72QP,12 Months,06/16/2020,Generic Insurance,Unknown,,Personal Lines (P/L),12/02/2020,06/16/2021,AUTOP,06/16/2020,06/19/2020,12/02/2020,-$161.51,$0.00,No,Active,Policy Change,PCH,SAFECO INS CO OF AMER
76276871,"McManus, Malerie",Generic Insurance Branch North,Personal,Auto (Personal),Safeco Insurance,zktc7BYgaf,12 Months,04/28/2021,Generic Insurance,Unknown,,Personal Lines (P/L),03/13/2021,04/28/2022,AUTOP,04/28/2020,04/29/2020,04/28/2021,"$2,417.20",$0.00,No,Active,Renewal,RWL,SAFECO INS CO OF AMER
76276871,"McManus, Malerie",Generic Insurance Branch North,Personal,Homeowners,Safeco Insurance,5F5kaUyd9X,12 Months,03/17/2021,Generic Insurance,Unknown,,Personal Lines (P/L),01/30/2021,03/17/2022,HOME,03/17/2020,03/18/2020,03/17/2021,"$2,349.00",$0.00,No,Active,Renewal,RWL,AMERICAN ECONOMY INS CO
76298968,"Smith, Amanda",Generic Insurance Branch North,Personal,Dwelling fire,Travelers,FYPwmstqry,12 Months,06/14/2020,Generic Insurance,Unknown,,Personal Lines (P/L),02/12/2021,06/14/2021,DFIRE,06/14/2020,06/16/2020,02/12/2021,$174.00,$0.00,No,Active,Reinstate,REI,TRAVELERS PERSONAL INS CO
76385595,"Smith, Amanda",Generic Insurance Branch North,Personal,Homeowners,Safeco Insurance,uGkuSG5AGa,12 Months,03/12/2021,Generic Insurance,Unknown,,Personal Lines (P/L),01/27/2021,03/12/2022,HOME,03/12/2020,03/13/2020,03/12/2021,"$1,899.00",$0.00,No,Active,Renewal,RWL,AMERICAN ECONOMY INS CO
76386961,"McManus, Malerie",Generic Insurance Branch North,Personal,Homeowners,Travelers,EhyPP22m7g,12 Months,03/11/2021,Generic Insurance,Unknown,,Personal Lines (P/L),04/24/2021,03/11/2022,HOME,03/11/2020,04/11/2020,04/24/2021,$0.00,$0.00,No,Active,Policy Change,PCH,TRAVELERS PERSONAL INS CO
76386961,"McManus, Malerie",Generic Insurance Branch North,Personal,Auto (Personal),Travelers,s7pBhZCbAs,12 Months,03/11/2021,Generic Insurance,Unknown,,Personal Lines (P/L),02/10/2021,03/11/2022,AUTOP,03/11/2020,04/11/2020,03/11/2021,"$1,916.00",$0.00,No,Active,Renewal,RWL,STANDARD FIRE INS CO
76406399,"Smith, Amanda",Generic Insurance Branch North,Personal,Homeowners,Safeco Insurance,MvhSuGmhMM,12 Months,03/16/2021,Generic Insurance,Unknown,,Personal Lines (P/L),01/30/2021,03/16/2022,HOME,03/16/2020,03/18/2020,03/16/2021,"$1,369.00",$0.00,No,Active,Renewal,RWL,AMERICAN ECONOMY INS CO
76455794,"Johnstone, Olivia",Generic Insurance Branch North,Personal,Umbrella - Personal,Nationwide Insurance,jWRv9K2tsQ,12 Months,03/17/2021,Generic Insurance,Unknown,,Personal Lines (P/L),02/03/2021,03/17/2022,PUMBR,03/17/2020,03/19/2020,03/17/2021,$0.00,$0.00,No,Active,Policy Change,PCH,NATIONWIDE MUT INS CO
76455794,"Johnstone, Olivia",Generic Insurance Branch North,Personal,Homeowners,Nationwide Insurance,6Kufy6sMDJ,12 Months,03/17/2021,Generic Insurance,Unknown,,Personal Lines (P/L),02/02/2021,03/17/2022,HOME,03/17/2020,03/19/2020,03/17/2021,"$2,005.20",$0.00,No,Active,Renewal,RWL,NATIONWIDE PROP & CAS INS CO
76455794,"Johnstone, Olivia",Generic Insurance Branch North,Personal,Auto (Personal),Nationwide Insurance,N7rJYMs67k,12 Months,03/17/2021,Generic Insurance,Unknown,,Personal Lines (P/L),02/03/2021,03/17/2022,AUTOP,03/17/2020,03/19/2020,03/17/2021,"$1,830.66",$0.00,No,Active,Renewal,RWL,NATIONWIDE PROP & CAS INS CO
76492152,"Johnstone, Olivia",Generic Insurance Branch North,Personal,Homeowners,Travelers,ntTbDNvU4s,12 Months,03/23/2021,Generic Insurance,Unknown,,Personal Lines (P/L),03/11/2021,03/23/2022,HOME,03/23/2020,04/11/2020,03/23/2021,$0.00,$0.00,No,Active,Policy Change,PCH,TRAVELERS PERSONAL INS CO
76492152,"Johnstone, Olivia",Generic Insurance Branch North,Personal,Umbrella - Personal,Travelers,snb4TdE2n8,12 Months,03/23/2021,Generic Insurance,Unknown,,Personal Lines (P/L),02/16/2021,03/23/2022,PUMBR,03/23/2020,04/11/2020,03/23/2021,$273.00,$0.00,No,Active,Renewal,RWL,AUTOMOBILE INS CO OF HARTFORD CT
76492152,"Johnstone, Olivia",Generic Insurance Branch North,Personal,Auto (Personal),Travelers,CmmUC8XHee,12 Months,03/23/2021,Generic Insurance,Unknown,,Personal Lines (P/L),02/23/2021,03/23/2022,AUTOP,03/23/2020,04/11/2020,03/23/2021,"$1,536.00",$0.00,No,Active,Renewal,RWL,STANDARD FIRE INS CO
76518757,"McManus, Malerie",Generic Insurance Branch North,Personal,Homeowners,Safeco Insurance,Chmn6a8kwm,12 Months,06/05/2020,Generic Insurance,Unknown,,Personal Lines (P/L),01/12/2021,06/05/2021,HOME,06/05/2020,06/06/2020,01/12/2021,"$1,478.00",$0.00,No,Active,Policy Change,PCH,AMERICAN ECONOMY INS CO
76576848,"Johnstone, Olivia",Generic Insurance Branch North,Personal,Homeowners,Safeco Insurance,7EWNFYhgKA,12 Months,03/09/2021,Generic Insurance,Unknown,,Personal Lines (P/L),02/13/2021,03/09/2022,HOME,03/09/2020,03/11/2020,03/09/2021,"$2,036.00",$0.00,No,Active,Policy Change,PCH,AMERICAN ECONOMY INS CO
76576848,"Johnstone, Olivia",Generic Insurance Branch North,Personal,Dwelling fire,Safeco Insurance,umRTvmtzBV,12 Months,02/22/2021,Generic Insurance,Unknown,,Personal Lines (P/L),04/03/2021,02/22/2022,DFIRE,02/22/2021,02/23/2021,04/03/2021,"$1,511.00",$0.00,No,Active,Policy Change,PCH,SAFECO INS CO OF AMER
76576848,"Johnstone, Olivia",Generic Insurance Branch North,Personal,Dwelling fire,Safeco Insurance,hVqCThTeRR,12 Months,02/22/2021,Generic Insurance,Unknown,,Personal Lines (P/L),04/03/2021,02/22/2022,DFIRE,02/22/2021,02/23/2021,04/03/2021,$448.00,$0.00,No,Active,Policy Change,PCH,SAFECO INS CO OF AMER
76629196,"Anderson, Bobbie",Generic Insurance Branch North,Personal,Homeowners,Safeco Insurance,8dEnecKEtH,12 Months,03/06/2021,Generic Insurance,Unknown,,Personal Lines (P/L),03/01/2021,03/06/2022,HOME,03/06/2020,03/10/2020,03/06/2021,"$1,295.00",$0.00,No,Active,Policy Change,PCH,AMERICAN ECONOMY INS CO
76629196,"Anderson, Bobbie",Generic Insurance Branch North,Personal,Auto (Personal),Safeco Insurance,4f6rJRk8Q7,12 Months,03/06/2021,Generic Insurance,Unknown,,Personal Lines (P/L),01/21/2021,03/06/2022,AUTOP,03/06/2020,03/10/2020,03/06/2021,"$2,409.70",$0.00,No,Active,Renewal,RWL,SAFECO INS CO OF AMER
76747516,"Johnstone, Olivia",Generic Insurance Branch North,Personal,Homeowners,Travelers,Bnk6rNrwWb,12 Months,03/31/2021,Generic Insurance,Unknown,,Personal Lines (P/L),04/06/2021,03/31/2022,HOME,03/31/2020,04/11/2020,04/06/2021,$0.00,$0.00,No,Active,Policy Change,PCH,TRAVELERS PERSONAL INS CO
76820721,"Smith, Amanda",Generic Insurance Branch North,Personal,Dwelling fire,Nationwide Insurance,PqUjfg3FXR,12 Months,03/31/2021,Generic Insurance,Unknown,,Personal Lines (P/L),02/16/2021,03/31/2022,DFIRE,03/31/2020,06/25/2020,03/31/2021,"$1,269.00",$0.00,No,Active,Renewal,RWL,AMCO INS CO
76820721,"Smith, Amanda",Generic Insurance Branch North,Personal,Dwelling fire,Nationwide Insurance,SQcvXUwtWE,12 Months,03/31/2021,Generic Insurance,Unknown,,Personal Lines (P/L),03/26/2021,03/31/2022,DFIRE,03/31/2020,06/25/2020,03/31/2021,$0.00,$0.00,No,Active,Policy Change,PCH,AMCO INS CO
76820721,"Smith, Amanda",Generic Insurance Branch North,Personal,Umbrella - Personal,Nationwide Insurance,ktbCE4DBBF,12 Months,03/31/2021,Generic Insurance,Unknown,,Personal Lines (P/L),02/17/2021,03/31/2022,PUMBR,03/31/2020,04/01/2020,03/31/2021,$5.71,$0.00,No,Active,Policy Change,PCH,NATIONWIDE MUT INS CO
76820721,"Smith, Amanda",Generic Insurance Branch North,Personal,Auto (Personal),Nationwide Insurance,JCq4CHAjg5,12 Months,03/31/2021,Generic Insurance,Unknown,,Personal Lines (P/L),02/16/2021,03/31/2022,AUTOP,03/31/2020,04/01/2020,03/31/2021,"$1,831.72",$0.00,No,Active,Renewal,RWL,NATIONWIDE PROP & CAS INS CO
76820721,"Smith, Amanda",Generic Insurance Branch North,Personal,Homeowners,Nationwide Insurance,E8B8w9dZ7Q,12 Months,03/31/2021,Generic Insurance,Unknown,,Personal Lines (P/L),02/16/2021,03/31/2022,HOME,03/31/2020,04/01/2020,03/31/2021,"$1,594.09",$0.00,No,Active,Renewal,RWL,NATIONWIDE PROP & CAS INS CO
76878769,"McManus, Malerie",Generic Insurance Branch North,Personal,Homeowners,Travelers,zNUnBTnddC,12 Months,03/31/2021,Generic Insurance,Unknown,,Personal Lines (P/L),02/10/2021,03/31/2022,HOME,03/31/2020,04/11/2020,03/31/2021,$536.00,$0.00,No,Active,Renewal,RWL,TRAVELERS PERSONAL INS CO
76878769,"McManus, Malerie",Generic Insurance Branch North,Personal,Auto (Personal),Travelers,ZzXV8hNbJJ,12 Months,03/31/2021,Generic Insurance,Unknown,,Personal Lines (P/L),03/02/2021,03/31/2022,AUTOP,03/31/2020,04/11/2020,03/31/2021,"$1,187.00",$0.00,No,Active,Renewal,RWL,STANDARD FIRE INS CO
76881645,"McManus, Malerie",Generic Insurance Branch North,Personal,Homeowners,Safeco Insurance,tb7YGcdWeS,12 Months,03/13/2021,Generic Insurance,Unknown,,Personal Lines (P/L),01/28/2021,03/13/2022,HOME,03/13/2020,03/14/2020,03/13/2021,"$1,368.00",$0.00,No,Active,Renewal,RWL,AMERICAN ECONOMY INS CO
76881645,"McManus, Malerie",Generic Insurance Branch North,Personal,Auto (Personal),Safeco Insurance,PqTJKQFq6z,12 Months,03/13/2021,Generic Insurance,Unknown,,Personal Lines (P/L),01/28/2021,03/13/2022,AUTOP,03/13/2020,03/14/2020,03/13/2021,"$1,961.80",$0.00,No,Active,Renewal,RWL,SAFECO INS CO OF AMER
76937532,"McManus, Malerie",Generic Insurance Branch North,Personal,Auto (Personal),Nationwide Insurance,qDgrrTRhzx,12 Months,03/26/2021,Generic Insurance,Unknown,,Personal Lines (P/L),02/13/2021,03/26/2022,AUTOP,03/26/2020,03/27/2020,03/26/2021,$476.44,$0.00,No,Active,Renewal,RWL,AMCO INS CO
76937532,"McManus, Malerie",Generic Insurance Branch North,Personal,Auto (Personal),Nationwide Insurance,hCKnhbYFEU,12 Months,03/26/2021,Generic Insurance,Unknown,,Personal Lines (P/L),05/20/2021,03/26/2022,AUTOP,03/26/2020,03/28/2020,05/20/2021,$158.91,$0.00,No,Active,Policy Change,PCH,NATIONWIDE PROP & CAS INS CO
76937532,"McManus, Malerie",Generic Insurance Branch North,Personal,Homeowners,Nationwide Insurance,rjW2JpYBcx,12 Months,03/26/2021,Generic Insurance,Unknown,,Personal Lines (P/L),02/10/2021,03/26/2022,HOME,03/26/2020,03/28/2020,03/26/2021,$920.56,$0.00,No,Active,Renewal,RWL,NATIONWIDE PROP & CAS INS CO
76962911,"McManus, Malerie",Generic Insurance Branch North,Personal,Dwelling fire,Travelers,K7kdbCtxdd,12 Months,03/18/2021,Generic Insurance,Unknown,,Personal Lines (P/L),01/28/2021,03/18/2022,DFIRE,03/18/2020,04/11/2020,03/18/2021,"$1,591.00",$0.00,No,Active,Renewal,RWL,TRAVELERS PERSONAL INS CO
77014985,"McManus, Malerie",Generic Insurance Branch North,Personal,Homeowners,Travelers,AtSndNhHmu,12 Months,04/08/2021,Generic Insurance,Unknown,,Personal Lines (P/L),04/30/2021,04/08/2022,HOME,04/08/2020,04/11/2020,04/30/2021,$0.00,$0.00,No,Active,Policy Change,PCH,TRAVELERS PERSONAL INS CO
77063319,"McManus, Malerie",Generic Insurance Branch North,Personal,Homeowners,Safeco Insurance,nmAvfQaQw9,12 Months,07/16/2020,Generic Insurance,Unknown,,Personal Lines (P/L),09/09/2020,07/16/2021,HOME,07/16/2020,07/17/2020,09/09/2020,"$1,466.00",$0.00,No,Active,Policy Change,PCH,AMERICAN ECONOMY INS CO
77150792,"Smith, Amanda",Generic Insurance Branch North,Personal,Homeowners,Safeco Insurance,jKefgJXrbn,12 Months,05/12/2021,Generic Insurance,Unknown,,Personal Lines (P/L),03/31/2021,05/12/2022,HOME,05/12/2020,05/14/2020,05/12/2021,"$1,143.00",$0.00,No,Active,Renewal,RWL,AMERICAN ECONOMY INS CO
77150792,"Smith, Amanda",Generic Insurance Branch North,Personal,Auto (Personal),Safeco Insurance,kueZC9c7p5,12 Months,05/12/2021,Generic Insurance,Unknown,,Personal Lines (P/L),04/30/2021,05/12/2022,AUTOP,05/12/2020,05/13/2020,05/12/2021,$106.14,$0.00,No,Active,Policy Change,PCH,SAFECO INS CO OF AMER
77158340,"Smith, Amanda",Generic Insurance Branch North,Personal,Homeowners,Nationwide Insurance,pAkxWr37gz,12 Months,05/08/2021,Generic Insurance,Unknown,,Personal Lines (P/L),04/28/2021,05/08/2022,HOME,05/08/2020,05/12/2020,05/08/2021,$0.00,$0.00,No,Active,Policy Change,PCH,NATIONWIDE PROP & CAS INS CO
77176602,"Smith, Amanda",Generic Insurance Branch North,Personal,Homeowners,Nationwide Insurance,2qcVKUXWPY,12 Months,03/27/2021,Generic Insurance,Unknown,,Personal Lines (P/L),02/11/2021,03/27/2022,HOME,03/27/2020,03/31/2020,03/27/2021,"$3,507.49",$0.00,No,Active,Renewal,RWL,NATIONWIDE PROP & CAS INS CO
77176602,"Smith, Amanda",Generic Insurance Branch North,Personal,Umbrella - Personal,Nationwide Insurance,GeBJ4gTwxM,12 Months,03/27/2021,Generic Insurance,Unknown,,Personal Lines (P/L),02/11/2021,03/27/2022,PUMBR,03/27/2020,03/31/2020,03/27/2021,$0.00,$0.00,No,Active,Policy Change,PCH,NATIONWIDE MUT INS CO
77176602,"Smith, Amanda",Generic Insurance Branch North,Personal,Auto (Personal),Nationwide Insurance,C9yUjtphCC,12 Months,03/27/2021,Generic Insurance,Unknown,,Personal Lines (P/L),02/11/2021,03/27/2022,AUTOP,03/27/2020,03/31/2020,03/27/2021,"$2,451.02",$0.00,No,Active,Renewal,RWL,NATIONWIDE PROP & CAS INS CO
77176969,"Allen, Johnson",Generic Insurance Branch North,Personal,Auto (Personal),Nationwide Insurance,sN7sde65NR,12 Months,03/30/2021,Generic Insurance,Unknown,,Personal Lines (P/L),02/16/2021,03/30/2022,AUTOP,03/30/2020,03/25/2020,03/30/2021,"$3,071.00",$0.00,No,Active,Renewal,RWL,NATIONWIDE PROP & CAS INS CO
77176969,"Allen, Johnson",Generic Insurance Branch North,Personal,Umbrella - Personal,Nationwide Insurance,AyHqECekZA,12 Months,03/30/2021,Generic Insurance,Unknown,,Personal Lines (P/L),03/06/2021,03/30/2022,PUMBR,03/30/2020,03/25/2020,04/19/2021,$0.00,$0.00,No,Active,Policy Change,PCH,NATIONWIDE MUT INS CO
